Ticker,Name,Sector,Industry,Last Price
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,248.71499633789065
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,251.3350067138672
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,251.8600006103516
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,254.3800048828125
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,255.5
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,256.9100036621094
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,258.739990234375
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,259.17999267578125
DDOG,"Datadog, Inc.",Technology,Software - Application,264.1300048828125
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,266.4849853515625
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,268.3800048828125
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,271.1300048828125
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,271.20001220703125
LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,274.4549865722656
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,276.25
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,276.9100036621094
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,279.9700012207031
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,280.114990234375
INTU,Intuit Inc.,Technology,Software - Application,284.010009765625
UNP,Union Pacific Corporation,Industrials,Railroads,287.67999267578125
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,289.4200134277344
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,290.260009765625
VMC,Vulcan Materials Company,Basic Materials,Building Materials,290.4800109863281
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,294.6099853515625
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,295.0
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,296.239990234375
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,297.1400146484375
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,299.5
TXN,Texas Instruments Incorporated,Technology,Semiconductors,300.44500732421875
TXN,Texas Instruments Incorporated,Technology,Semiconductors,300.5400085449219
CI,The Cigna Group,Healthcare,Healthcare Plans,304.2099914550781
GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,311.4100036621094
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,316.0150146484375
SYK,Stryker Corporation,Healthcare,Medical Devices,316.4150085449219
PSA,Public Storage,Real Estate,REIT - Industrial,317.6000061035156
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,318.2049865722656
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,321.5799865722656
NSC,Norfolk Southern Corporation,Industrials,Railroads,326.3999938964844
AAPL,Apple Inc.,Technology,Consumer Electronics,326.8900146484375
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,328.82000732421875
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,329.7250061035156
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,331.45001220703125
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,332.010009765625
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,333.625
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,334.9800109863281
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,338.5903015136719
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,339.2200012207031
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,344.8800048828125
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,348.1000061035156
ROP,"Roper Technologies, Inc.",Technology,Software - Application,350.5190124511719
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,355.625
GE,GE Aerospace,Industrials,Aerospace & Defense,356.75
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,357.3599853515625
V,Visa Inc.,Financial Services,Credit Services,357.7825012207031
AON,Aon plc,Financial Services,Insurance Brokers,357.8699951171875
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,358.2051086425781
AXP,American Express Company,Financial Services,Credit Services,361.14849853515625
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,369.135009765625
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,369.6799926757813
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,370.1199951171875
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,371.6600036621094
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,372.718994140625
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,374.7900085449219
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,377.5700073242188
WAT,Waters Corporation,Healthcare,Diagnostics & Research,378.5700073242188
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,378.80999755859375
ADI,"Analog Devices, Inc.",Technology,Semiconductors,387.9700012207031
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,389.7300109863281
AVGO,Broadcom Inc.,Technology,Semiconductors,390.3200073242188
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,392.1950073242188
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,396.760009765625
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,396.9599914550781
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,404.6199951171875
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,408.6499938964844
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,408.80999755859375
HUM,Humana Inc.,Healthcare,Healthcare Plans,410.08349609375
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,423.2850036621094
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,425.2925109863281
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,425.4299926757813
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,447.260009765625
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,472.5199890136719
TT,Trane Technologies plc,Industrials,Building Products & Equipment,475.4150085449219
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,478.8900146484375
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,510.0050048828125
LIN,Linde plc,Basic Materials,Specialty Chemicals,514.8300170898438
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,516.2999877929688
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,519.4149780273438
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,531.510009765625
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,531.780029296875
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,537.3800048828125
MA,Mastercard Incorporated,Financial Services,Credit Services,537.8099975585938
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,563.0900268554688
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,564.3400268554688
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,573.760009765625
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,581.625
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,640.7000122070312
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,660.8900146484375
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,664.4099731445312
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,676.8099975585938
MCK,McKesson Corporation,Healthcare,Medical Distribution,806.2449951171875
MU,"Micron Technology, Inc.",Technology,Semiconductors,905.0
MU,"Micron Technology, Inc.",Technology,Semiconductors,905.760009765625
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,906.0
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,922.2050170898438
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,950.5499877929688
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,1049.7149658203125
BLK,"BlackRock, Inc.",Financial Services,Asset Management,1104.6199951171875
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,1134.4000244140625
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,1143.75
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,1219.43505859375
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,1329.0899658203125
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,1341.47998046875
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,1777.0849609375
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,1851.5
MKL,Markel Group Inc.,Financial Services,Insurance - Property & Casualty,1933.52001953125
